#Firmware: MS3 1.4.0 release     20150709 19:51BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,0.0,507.794,4452.718
0.0,1.0,0.0,0.0,60.989,4513.7065
0.0,1.0,0.0,0.0,49.318,4563.0244
0.0,1.0,0.0,0.0,48.967,4611.991
0.0,1.0,0.0,0.0,43.899,4655.89
0.0,1.0,0.0,0.0,37.923,4693.813
1.0,0.0,1.0,0.0,35.049,4728.862
0.0,0.0,0.0,0.0,0.049,4728.9106
0.0,0.0,0.0,1.0,34.127,4763.0376
0.0,1.0,0.0,1.0,34.953,4797.9907
0.0,1.0,0.0,1.0,37.884,4835.8745
0.0,1.0,0.0,1.0,37.369,4873.2437
0.0,1.0,0.0,0.0,11.589,4884.8325
0.0,1.0,0.0,0.0,22.683,4907.5156
0.0,1.0,0.0,0.0,32.728,4940.2437
0.0,1.0,0.0,0.0,32.222,4972.466
0.0,1.0,0.0,0.0,33.074,5005.54
0.0,1.0,0.0,0.0,35.886,5041.4263
0.0,1.0,0.0,0.0,34.871,5076.2974
1.0,0.0,1.0,0.0,22.259,5098.556
0.0,0.0,0.0,0.0,11.3,5109.856
0.0,1.0,0.0,1.0,32.188,5142.044
0.0,0.0,1.0,1.0,1.71,5143.754
0.0,0.0,0.0,1.0,29.795,5173.549
0.0,1.0,0.0,1.0,32.562,5206.111
0.0,1.0,0.0,1.0,35.552,5241.6626
0.0,1.0,0.0,0.0,35.458,5277.1206
0.0,1.0,0.0,0.0,11.433,5288.5537
0.0,1.0,0.0,0.0,21.892,5310.446
0.0,1.0,0.0,0.0,31.69,5342.1357
0.0,1.0,0.0,0.0,31.293,5373.4287
0.0,1.0,0.0,0.0,32.203,5405.632
0.0,1.0,0.0,0.0,35.112,5440.7437
0.0,1.0,0.0,0.0,34.52,5475.2637
0.0,1.0,0.0,0.0,33.043,5508.3066
0.0,1.0,0.0,0.0,31.431,5539.738
0.0,0.0,1.0,0.0,0.146,5539.884
0.0,0.0,0.0,0.0,30.921,5570.8047
0.0,1.0,0.0,1.0,31.925,5602.7295
0.0,1.0,0.0,1.0,34.439,5637.1685
0.0,1.0,0.0,1.0,34.068,5671.2363
0.0,1.0,0.0,1.0,11.407,5682.6436
0.0,1.0,0.0,0.0,21.11,5703.7534
0.0,1.0,0.0,0.0,31.05,5734.803
0.0,1.0,0.0,0.0,30.815,5765.618
