#Firmware: MS3 1.4.0 release     20150709 19:51BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,1.0,1.0,276.617,276.617
0.0,0.0,0.0,1.0,2.459,279.07602
0.0,0.0,0.0,1.0,13.354,292.43002
0.0,0.0,0.0,1.0,21.268,313.69803
0.0,0.0,0.0,1.0,13.79,327.48804
0.0,0.0,1.0,1.0,11.392,338.88004
0.0,0.0,1.0,1.0,7.962,346.84204
0.0,0.0,0.0,1.0,2.719,349.56104
0.0,0.0,0.0,1.0,14.447,364.00803
0.0,0.0,0.0,1.0,22.881,386.88904
0.0,0.0,0.0,1.0,14.676,401.56503
0.0,0.0,1.0,1.0,20.633,422.19803
0.0,0.0,0.0,1.0,2.818,425.01602
0.0,0.0,0.0,1.0,15.339,440.355
0.0,0.0,0.0,1.0,23.574,463.92902
0.0,0.0,0.0,1.0,14.349,478.278
0.0,0.0,1.0,1.0,11.817,490.095
0.0,0.0,1.0,1.0,7.967,498.062
0.0,0.0,0.0,1.0,2.622,500.68402
0.0,0.0,0.0,1.0,13.902,514.586
0.0,0.0,0.0,1.0,21.838,536.424
0.0,0.0,0.0,1.0,13.737,550.161
0.0,0.0,1.0,1.0,18.779,568.94
0.0,0.0,0.0,1.0,2.435,571.375
0.0,0.0,0.0,1.0,12.958,584.333
0.0,0.0,0.0,1.0,20.625,604.958
0.0,0.0,0.0,1.0,13.446,618.404
0.0,0.0,1.0,1.0,11.031,629.435
0.0,0.0,1.0,1.0,7.37,636.805
0.0,0.0,0.0,1.0,2.456,639.261
0.0,0.0,0.0,1.0,12.813,652.074
0.0,0.0,0.0,1.0,19.77,671.844
0.0,0.0,0.0,1.0,12.099,683.943
0.0,0.0,1.0,1.0,16.856,700.799
0.0,0.0,0.0,1.0,2.312,703.111
0.0,0.0,0.0,1.0,12.403,715.51404
0.0,0.0,0.0,1.0,19.686,735.2
0.0,0.0,0.0,1.0,12.68,747.88
0.0,0.0,1.0,1.0,10.463,758.343
0.0,0.0,1.0,1.0,7.243,765.586
0.0,0.0,0.0,1.0,2.47,768.05597
0.0,0.0,0.0,1.0,13.085,781.141
0.0,0.0,0.0,1.0,20.837,801.97797
0.0,0.0,0.0,1.0,13.535,815.51294
0.0,0.0,1.0,1.0,19.058,834.5709
0.0,0.0,0.0,1.0,2.606,837.17694
0.0,0.0,0.0,1.0,14.201,851.3779
0.0,0.0,0.0,1.0,22.125,873.5029
0.0,0.0,0.0,1.0,13.655,887.15796
0.0,0.0,1.0,1.0,11.202,898.36
0.0,0.0,1.0,1.0,7.431,905.791
0.0,0.0,0.0,1.0,2.458,908.249
0.0,0.0,0.0,1.0,12.92,921.169
0.0,0.0,0.0,1.0,20.587,941.756
0.0,0.0,0.0,1.0,13.421,955.177
0.0,0.0,1.0,1.0,18.128,973.305
0.0,0.0,0.0,1.0,2.282,975.587
0.0,0.0,0.0,1.0,12.354,987.941
0.0,0.0,0.0,1.0,19.714,1007.65497
0.0,0.0,0.0,1.0,12.879,1020.534
0.0,0.0,1.0,1.0,10.612,1031.146
0.0,0.0,1.0,1.0,7.388,1038.5339
0.0,0.0,0.0,1.0,2.509,1041.043
0.0,0.0,0.0,1.0,13.291,1054.334
0.0,0.0,0.0,1.0,20.368,1074.702
0.0,0.0,0.0,1.0,12.4,1087.102
0.0,0.0,1.0,1.0,17.387,1104.489
0.0,0.0,0.0,1.0,2.394,1106.883
0.0,0.0,0.0,1.0,12.926,1119.8091
0.0,0.0,0.0,1.0,20.602,1140.4111
0.0,0.0,0.0,1.0,13.403,1153.8141
0.0,0.0,1.0,1.0,10.995,1164.8091
0.0,0.0,1.0,1.0,7.248,1172.0571
0.0,0.0,0.0,1.0,2.38,1174.4371
0.0,0.0,0.0,1.0,12.525,1186.9622
0.0,0.0,0.0,1.0,19.973,1206.9352
0.0,0.0,0.0,1.0,13.049,1219.9841
0.0,0.0,1.0,1.0,18.364,1238.3481
0.0,0.0,0.0,1.0,2.516,1240.8641
0.0,0.0,0.0,1.0,13.665,1254.5292
0.0,0.0,0.0,1.0,21.771,1276.3002
0.0,0.0,0.0,1.0,14.008,1290.3082
0.0,0.0,1.0,1.0,11.589,1301.8972
0.0,0.0,1.0,1.0,8.053,1309.9502
0.0,0.0,0.0,1.0,2.778,1312.7281
0.0,0.0,0.0,1.0,14.745,1327.4731
0.0,0.0,0.0,1.0,23.324,1350.7971
0.0,0.0,0.0,1.0,14.797,1365.5941
0.0,0.0,1.0,1.0,20.134,1385.7281
0.0,0.0,0.0,1.0,2.597,1388.3252
0.0,0.0,0.0,1.0,13.808,1402.1332
0.0,0.0,0.0,1.0,22.052,1424.1852
0.0,0.0,0.0,1.0,14.465,1438.6501
0.0,0.0,1.0,1.0,11.747,1450.3971
0.0,0.0,1.0,1.0,7.698,1458.0951
0.0,0.0,0.0,1.0,2.501,1460.5961
0.0,0.0,0.0,1.0,13.222,1473.8181
0.0,0.0,0.0,1.0,20.413,1494.2311
0.0,0.0,0.0,1.0,12.458,1506.6891
0.0,0.0,1.0,1.0,17.337,1524.0261
0.0,0.0,0.0,1.0,2.37,1526.3961
0.0,0.0,0.0,1.0,12.704,1539.1001
0.0,0.0,0.0,1.0,19.352,1558.4521
0.0,0.0,0.0,1.0,11.718,1570.1702
0.0,0.0,1.0,1.0,9.622,1579.7921
0.0,0.0,1.0,1.0,6.753,1586.5452
0.0,0.0,0.0,1.0,2.303,1588.8481
0.0,0.0,0.0,1.0,12.193,1601.0411
0.0,0.0,0.0,1.0,19.399,1620.4402
0.0,0.0,0.0,1.0,12.559,1632.9991
0.0,0.0,1.0,1.0,17.261,1650.2601
0.0,0.0,0.0,1.0,2.248,1652.5082
0.0,0.0,0.0,1.0,12.05,1664.5582
0.0,0.0,0.0,1.0,19.176,1683.7343
0.0,0.0,0.0,1.0,12.475,1696.2092
0.0,0.0,1.0,1.0,10.308,1706.5172
0.0,0.0,1.0,1.0,7.155,1713.6722
0.0,0.0,0.0,1.0,2.411,1716.0833
0.0,0.0,0.0,1.0,12.899,1728.9823
0.0,0.0,0.0,1.0,20.624,1749.6063
0.0,0.0,0.0,1.0,13.456,1763.0624
0.0,0.0,1.0,1.0,18.974,1782.0364
0.0,0.0,0.0,1.0,2.601,1784.6373
0.0,0.0,0.0,1.0,14.193,1798.8303
0.0,0.0,0.0,1.0,22.749,1821.5793
0.0,0.0,0.0,1.0,14.914,1836.4933
0.0,0.0,1.0,1.0,12.216,1848.7092
0.0,0.0,1.0,1.0,7.999,1856.7083
0.0,0.0,0.0,1.0,2.652,1859.3602
0.0,0.0,0.0,1.0,13.856,1873.2162
0.0,0.0,0.0,1.0,21.968,1895.1842
0.0,0.0,0.0,1.0,14.101,1909.2852
0.0,0.0,1.0,1.0,19.73,1929.0151
0.0,0.0,0.0,1.0,2.732,1931.7472
0.0,0.0,0.0,1.0,14.644,1946.3912
0.0,0.0,0.0,1.0,22.547,1968.9382
0.0,0.0,0.0,1.0,13.642,1982.5802
0.0,0.0,1.0,1.0,11.231,1993.8112
0.0,0.0,1.0,1.0,7.727,2001.5382
0.0,0.0,0.0,1.0,2.662,2004.2002
0.0,0.0,0.0,1.0,13.946,2018.1462
